Track,TestCase,Matcher,Label Left,Comment Left,Type Left,URI Left,Relation,Confidence (Matcher),URI Right,Label Right,Comment Right,Type Right,Residual True Positive,Evaluation Result
conference,cmt-iasted,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw3/target/external-python-matcher-seals-1.0-seals.zip,[],[],"[""owl:Class""]",http://cmt#Reviewer,=,1.0,http://iasted#Reviewer,[],[],"[""owl:Class""]",false,true positive
conference,cmt-iasted,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw3/target/external-python-matcher-seals-1.0-seals.zip,[],[],"[""owl:Class""]",http://cmt#ConferenceMember,=,1.0,http://iasted#Delegate,[],[],"[""owl:Class""]",false,false positive
conference,cmt-iasted,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw3/target/external-python-matcher-seals-1.0-seals.zip,[],[],"[""owl:Class""]",http://cmt#Author,=,1.0,http://iasted#Author,[],[],"[""owl:Class""]",false,true positive
conference,cmt-iasted,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw3/target/external-python-matcher-seals-1.0-seals.zip,[],[],"[""owl:Class""]",http://cmt#Person,=,1.0,http://iasted#Person,[],[],"[""owl:Class""]",false,true positive
conference,cmt-iasted,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw3/target/external-python-matcher-seals-1.0-seals.zip,[],[],"[""owl:Class""]",http://cmt#Document,=,1.0,http://iasted#Document,[],[],"[""owl:Class""]",false,false positive
conference,cmt-iasted,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw3/target/external-python-matcher-seals-1.0-seals.zip,[],[],"[""owl:Class""]",http://cmt#Paper,=,1.0,http://iasted#Submission,[],[],"[""owl:Class""]",false,false positive
conference,cmt-iasted,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw3/target/external-python-matcher-seals-1.0-seals.zip,[],[],"[""owl:Class""]",http://cmt#Co-author,=,1.0,http://iasted#Author_book_proceedings_included,[],[],"[""owl:Class""]",false,false positive
conference,cmt-iasted,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw3/target/external-python-matcher-seals-1.0-seals.zip,[],[],"[""owl:Class""]",http://cmt#Review,=,1.0,http://iasted#Review,[],[],"[""owl:Class""]",false,true positive
conference,cmt-iasted,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw3/target/external-python-matcher-seals-1.0-seals.zip,[],[],"[""owl:Class""]",http://cmt#Chairman,=,1.0,http://iasted#Sponsor,[],[],"[""owl:Class""]",false,false positive
conference,cmt-iasted,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw3/target/external-python-matcher-seals-1.0-seals.zip,[],[],"[""owl:Class""]",http://cmt#ConferenceChair,=,1.0,http://iasted#Session_chair,[],[],"[""owl:Class""]",false,false positive
