Track,Track Version,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime (HH:MM:SS)
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw3/target/external-python-matcher-seals-1.0-seals.zip,ALL,0.7366624272086457,0.5410408395309746,0.08452825574674315,0.6103923853114831,0.7168949771689498,0.5147540983606558,0.1111111111111111,0.599236641221374,157,18,62,148,219,58501506833,00:00:58
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw3/target/external-python-matcher-seals-1.0-seals.zip,CLASSES,0.7366624272086456,0.6411708749400806,0.13114134542705974,0.6714640924947448,0.7168949771689498,0.6061776061776062,0.15254237288135594,0.6569037656903766,157,18,62,102,219,-,-
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw3/target/external-python-matcher-seals-1.0-seals.zip,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,46,0,-,-
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw3/target/external-python-matcher-seals-1.0-seals.zip,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw0/target/external-python-matcher-seals-1.0-seals.zip,ALL,0.8231447124304268,0.517985465588873,0.04475123382686407,0.6227283480181561,0.8087431693989071,0.4852459016393443,0.05555555555555555,0.6065573770491804,148,9,35,157,183,57726459871,00:00:57
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw0/target/external-python-matcher-seals-1.0-seals.zip,CLASSES,0.823144712430427,0.61056242741434,0.06209372637944067,0.6868932931223422,0.8087431693989071,0.5714285714285714,0.07627118644067797,0.669683257918552,148,9,35,111,183,-,-
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw0/target/external-python-matcher-seals-1.0-seals.zip,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,46,0,-,-
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw0/target/external-python-matcher-seals-1.0-seals.zip,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw1/target/external-python-matcher-seals-1.0-seals.zip,ALL,0.8545523259808974,0.5186567943797333,0.045280334355964603,0.6324824849760207,0.8324022346368715,0.4885245901639344,0.06172839506172839,0.6157024793388429,149,10,30,156,179,58296331333,00:00:58
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw1/target/external-python-matcher-seals-1.0-seals.zip,CLASSES,0.8545523259808974,0.6116067047744067,0.06243386243386243,0.6992235899659042,0.8324022346368715,0.5752895752895753,0.0847457627118644,0.680365296803653,149,10,30,110,179,-,-
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw1/target/external-python-matcher-seals-1.0-seals.zip,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,46,0,-,-
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw1/target/external-python-matcher-seals-1.0-seals.zip,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw2/target/external-python-matcher-seals-1.0-seals.zip,ALL,0.8374982316158789,0.49840636121985277,0.00935374149659864,0.6095887897611868,0.8011363636363636,0.46229508196721314,0.012345679012345678,0.5862785862785862,141,2,35,164,176,59356082771,00:00:59
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw2/target/external-python-matcher-seals-1.0-seals.zip,CLASSES,0.8374982316158789,0.5886931820978896,0.016666666666666666,0.6746779900422546,0.8011363636363636,0.5444015444015444,0.01694915254237288,0.6482758620689655,141,2,35,118,176,-,-
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw2/target/external-python-matcher-seals-1.0-seals.zip,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,46,0,-,-
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw2/target/external-python-matcher-seals-1.0-seals.zip,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
