Track,Track Version,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime (HH:MM:SS)
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw3/target/external-python-matcher-seals-1.0-seals.zip,ALL,0.2506868131868132,0.6749999999999999,0.08333333333333333,0.36111111111111116,0.25,0.6,0.16666666666666666,0.35294117647058826,9,1,27,6,36,10238905176,00:00:10
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw3/target/external-python-matcher-seals-1.0-seals.zip,CLASSES,0.2506868131868132,0.7380952380952381,0.1111111111111111,0.3715070569290518,0.25,0.6923076923076923,0.25,0.3673469387755102,9,1,27,4,36,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw3/target/external-python-matcher-seals-1.0-seals.zip,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw3/target/external-python-matcher-seals-1.0-seals.zip,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw0/target/external-python-matcher-seals-1.0-seals.zip,ALL,0.2748917748917749,0.6749999999999999,0.08333333333333333,0.382996632996633,0.28125,0.6,0.16666666666666666,0.3829787234042553,9,1,23,6,32,10152017663,00:00:10
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw0/target/external-python-matcher-seals-1.0-seals.zip,CLASSES,0.2748917748917749,0.7380952380952381,0.1111111111111111,0.39576719576719577,0.28125,0.6923076923076923,0.25,0.4,9,1,23,4,32,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw0/target/external-python-matcher-seals-1.0-seals.zip,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw0/target/external-python-matcher-seals-1.0-seals.zip,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw1/target/external-python-matcher-seals-1.0-seals.zip,ALL,0.31746031746031744,0.6333333333333333,0.0,0.39324618736383443,0.2962962962962963,0.5333333333333333,0.0,0.38095238095238093,8,0,19,7,27,9780066080,00:00:09
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw1/target/external-python-matcher-seals-1.0-seals.zip,CLASSES,0.31746031746031744,0.6904761904761904,0.0,0.40925925925925927,0.2962962962962963,0.6153846153846154,0.0,0.4,8,0,19,5,27,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw1/target/external-python-matcher-seals-1.0-seals.zip,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw1/target/external-python-matcher-seals-1.0-seals.zip,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw2/target/external-python-matcher-seals-1.0-seals.zip,ALL,0.3844155844155844,0.6333333333333333,0.0,0.4515873015873016,0.34782608695652173,0.5333333333333333,0.0,0.4210526315789474,8,0,15,7,23,10024406292,00:00:10
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw2/target/external-python-matcher-seals-1.0-seals.zip,CLASSES,0.3844155844155844,0.6904761904761904,0.0,0.4698412698412698,0.34782608695652173,0.6153846153846154,0.0,0.4444444444444444,8,0,15,5,23,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw2/target/external-python-matcher-seals-1.0-seals.zip,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw2/target/external-python-matcher-seals-1.0-seals.zip,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
