Track,Track Version,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime (HH:MM:SS)
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw3/target/external-python-matcher-seals-1.0-seals.zip,ALL,0.22268518518518518,0.6749999999999999,0.08333333333333333,0.32676767676767676,0.225,0.6,0.16666666666666666,0.3272727272727273,9,1,31,6,40,9588522363,00:00:09
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw3/target/external-python-matcher-seals-1.0-seals.zip,CLASSES,0.22268518518518518,0.7380952380952381,0.1111111111111111,0.33631509604049653,0.225,0.6923076923076923,0.25,0.339622641509434,9,1,31,4,40,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw3/target/external-python-matcher-seals-1.0-seals.zip,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw3/target/external-python-matcher-seals-1.0-seals.zip,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw0/target/external-python-matcher-seals-1.0-seals.zip,ALL,0.3225108225108225,0.6749999999999999,0.08333333333333333,0.4166666666666667,0.32142857142857145,0.6,0.16666666666666666,0.41860465116279066,9,1,19,6,28,9734150741,00:00:09
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw0/target/external-python-matcher-seals-1.0-seals.zip,CLASSES,0.3225108225108225,0.7380952380952381,0.1111111111111111,0.433115468409586,0.32142857142857145,0.6923076923076923,0.25,0.4390243902439025,9,1,19,4,28,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw0/target/external-python-matcher-seals-1.0-seals.zip,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw0/target/external-python-matcher-seals-1.0-seals.zip,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw1/target/external-python-matcher-seals-1.0-seals.zip,ALL,0.43690476190476185,0.6749999999999999,0.08333333333333333,0.509920634920635,0.45,0.6,0.16666666666666666,0.5142857142857143,9,1,11,6,20,10196542000,00:00:10
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw1/target/external-python-matcher-seals-1.0-seals.zip,CLASSES,0.4369047619047619,0.7380952380952381,0.1111111111111111,0.533910533910534,0.45,0.6923076923076923,0.25,0.5454545454545455,9,1,11,4,20,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw1/target/external-python-matcher-seals-1.0-seals.zip,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw1/target/external-python-matcher-seals-1.0-seals.zip,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw2/target/external-python-matcher-seals-1.0-seals.zip,ALL,0.41904761904761906,0.6333333333333333,0.0,0.47936507936507944,0.42105263157894735,0.5333333333333333,0.0,0.47058823529411764,8,0,11,7,19,9190844318,00:00:09
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw2/target/external-python-matcher-seals-1.0-seals.zip,CLASSES,0.41904761904761906,0.6904761904761904,0.0,0.5021645021645021,0.42105263157894735,0.6153846153846154,0.0,0.5,8,0,11,5,19,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw2/target/external-python-matcher-seals-1.0-seals.zip,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw2/target/external-python-matcher-seals-1.0-seals.zip,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
