Track,Track Version,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime (HH:MM:SS)
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw3/target/external-python-matcher-seals-1.0-seals.zip,ALL,0.26607142857142857,0.6749999999999999,0.08333333333333333,0.37592592592592594,0.2727272727272727,0.6,0.16666666666666666,0.37499999999999994,9,1,24,6,33,7897841336,00:00:07
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw3/target/external-python-matcher-seals-1.0-seals.zip,CLASSES,0.26607142857142857,0.7380952380952381,0.1111111111111111,0.38831377961812746,0.2727272727272727,0.6923076923076923,0.25,0.391304347826087,9,1,24,4,33,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw3/target/external-python-matcher-seals-1.0-seals.zip,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw3/target/external-python-matcher-seals-1.0-seals.zip,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw0/target/external-python-matcher-seals-1.0-seals.zip,ALL,0.34074074074074073,0.6333333333333333,0.0,0.43386243386243395,0.3333333333333333,0.5333333333333333,0.0,0.4102564102564102,8,0,16,7,24,7733720225,00:00:07
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw0/target/external-python-matcher-seals-1.0-seals.zip,CLASSES,0.34074074074074073,0.6904761904761904,0.0,0.44990303813833227,0.3333333333333333,0.6153846153846154,0.0,0.43243243243243246,8,0,16,5,24,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw0/target/external-python-matcher-seals-1.0-seals.zip,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw0/target/external-python-matcher-seals-1.0-seals.zip,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw1/target/external-python-matcher-seals-1.0-seals.zip,ALL,0.41904761904761906,0.6333333333333333,0.0,0.4793650793650794,0.42105263157894735,0.5333333333333333,0.0,0.47058823529411764,8,0,11,7,19,7810052816,00:00:07
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw1/target/external-python-matcher-seals-1.0-seals.zip,CLASSES,0.41904761904761906,0.6904761904761904,0.0,0.5021645021645021,0.42105263157894735,0.6153846153846154,0.0,0.5,8,0,11,5,19,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw1/target/external-python-matcher-seals-1.0-seals.zip,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw1/target/external-python-matcher-seals-1.0-seals.zip,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw2/target/external-python-matcher-seals-1.0-seals.zip,ALL,0.4507936507936508,0.6333333333333333,0.0,0.4920634920634921,0.4444444444444444,0.5333333333333333,0.0,0.4848484848484848,8,0,10,7,18,7778816117,00:00:07
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw2/target/external-python-matcher-seals-1.0-seals.zip,CLASSES,0.4507936507936508,0.6904761904761904,0.0,0.5168165168165167,0.4444444444444444,0.6153846153846154,0.0,0.5161290322580646,8,0,10,5,18,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw2/target/external-python-matcher-seals-1.0-seals.zip,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw2/target/external-python-matcher-seals-1.0-seals.zip,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
