Track,Track Version,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime (HH:MM:SS)
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw3/target/external-python-matcher-seals-1.0-seals.zip,ALL,0.11681566624095359,0.6333333333333333,0.0,0.19383753501400558,0.11267605633802817,0.5333333333333333,0.0,0.18604651162790697,8,0,63,7,71,7967466294,00:00:07
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw3/target/external-python-matcher-seals-1.0-seals.zip,CLASSES,0.11681566624095359,0.6904761904761904,0.0,0.19726678550207963,0.11267605633802817,0.6153846153846154,0.0,0.1904761904761905,8,0,63,5,71,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw3/target/external-python-matcher-seals-1.0-seals.zip,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw3/target/external-python-matcher-seals-1.0-seals.zip,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw0/target/external-python-matcher-seals-1.0-seals.zip,ALL,0.31005291005291,0.6333333333333333,0.0,0.39389978213507626,0.3076923076923077,0.5333333333333333,0.0,0.3902439024390244,8,0,18,7,26,7867711611,00:00:07
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw0/target/external-python-matcher-seals-1.0-seals.zip,CLASSES,0.31005291005291,0.6904761904761904,0.0,0.41005291005291006,0.3076923076923077,0.6153846153846154,0.0,0.4102564102564103,8,0,18,5,26,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw0/target/external-python-matcher-seals-1.0-seals.zip,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw0/target/external-python-matcher-seals-1.0-seals.zip,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw1/target/external-python-matcher-seals-1.0-seals.zip,ALL,0.4296296296296296,0.6333333333333333,0.0,0.4761904761904763,0.4,0.5333333333333333,0.0,0.4571428571428572,8,0,12,7,20,7893123299,00:00:07
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw1/target/external-python-matcher-seals-1.0-seals.zip,CLASSES,0.4296296296296296,0.6904761904761904,0.0,0.4981684981684982,0.4,0.6153846153846154,0.0,0.4848484848484849,8,0,12,5,20,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw1/target/external-python-matcher-seals-1.0-seals.zip,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw1/target/external-python-matcher-seals-1.0-seals.zip,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw2/target/external-python-matcher-seals-1.0-seals.zip,ALL,0.41904761904761906,0.6333333333333333,0.0,0.47936507936507944,0.42105263157894735,0.5333333333333333,0.0,0.47058823529411764,8,0,11,7,19,7893028155,00:00:07
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw2/target/external-python-matcher-seals-1.0-seals.zip,CLASSES,0.41904761904761906,0.6904761904761904,0.0,0.5021645021645021,0.42105263157894735,0.6153846153846154,0.0,0.5,8,0,11,5,19,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw2/target/external-python-matcher-seals-1.0-seals.zip,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,-,-
conference,conference-dbpedia,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw2/target/external-python-matcher-seals-1.0-seals.zip,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
